Noise Level,Average
Take-out,Yes
Ambience,Divey
Best Nights,"Tue, Wed, Sun"
Wheelchair Accessible,No
Outdoor Seating,Yes
Delivery,No
Parking,Street
Best Nights,"Mon, Tue, Wed"
Waiter Service,Yes
Coat Check,No
Best Nights,Tue
Happy Hour,Yes
Has Pool Table,No
Good for Working,Yes
Wi-Fi,Free
Good for Kids,Yes
Ambience,Casual
Parking,"Garage, Street, Private Lot"
Accepts Credit Cards,No
Caters,No
Music,DJ
Parking,Validated
Takes Reservations,No
Caters,Yes
Bike Parking,Yes
Has TV,Yes
Noise Level,Loud
Ambience,Hipster
Good For,"Lunch, Dinner, Late Night"
Coat Check,Yes
Parking,"Street, Private Lot"
Has Pool Table,Yes
Outdoor Seating,No
By Appointment Only,No
Smoking,Outdoor Area/ Patio Only
Smoking,No
Wheelchair Accessible,Yes
Accepts Apple Pay,No
Good For Dancing,No
Takes Reservations,Yes
Alcohol,Full Bar
Good for Groups,Yes
Accepts Credit Cards,Yes
Music,Juke Box
Dogs Allowed,Yes
Accepts Bitcoin,No
Attire,Casual
Hair Types Specialized In,"Curly Hair, Kids' Hair"
Good for Kids,No
Wi-Fi,No
Dogs Allowed,No
Best Nights,"Mon, Fri, Sat"
Good For,"Dinner, Late Night"
Parking,"Garage, Street, Private Lot, Validated"
Parking,"Valet, Garage, Street"
